frame,condition,path
0,clear,degraded/clear/frame_00000.png
0,smoke,degraded/smoke/frame_00000.png
0,low_light,degraded/low_light/frame_00000.png
0,snow,degraded/snow/frame_00000.png
0,textureless,degraded/textureless/frame_00000.png
1,clear,degraded/clear/frame_00001.png
1,smoke,degraded/smoke/frame_00001.png
1,low_light,degraded/low_light/frame_00001.png
1,snow,degraded/snow/frame_00001.png
1,textureless,degraded/textureless/frame_00001.png
2,clear,degraded/clear/frame_00002.png
2,smoke,degraded/smoke/frame_00002.png
2,low_light,degraded/low_light/frame_00002.png
2,snow,degraded/snow/frame_00002.png
2,textureless,degraded/textureless/frame_00002.png
3,clear,degraded/clear/frame_00003.png
3,smoke,degraded/smoke/frame_00003.png
3,low_light,degraded/low_light/frame_00003.png
3,snow,degraded/snow/frame_00003.png
3,textureless,degraded/textureless/frame_00003.png
4,clear,degraded/clear/frame_00004.png
4,smoke,degraded/smoke/frame_00004.png
4,low_light,degraded/low_light/frame_00004.png
4,snow,degraded/snow/frame_00004.png
4,textureless,degraded/textureless/frame_00004.png
5,clear,degraded/clear/frame_00005.png
5,smoke,degraded/smoke/frame_00005.png
5,low_light,degraded/low_light/frame_00005.png
5,snow,degraded/snow/frame_00005.png
5,textureless,degraded/textureless/frame_00005.png
6,clear,degraded/clear/frame_00006.png
6,smoke,degraded/smoke/frame_00006.png
6,low_light,degraded/low_light/frame_00006.png
6,snow,degraded/snow/frame_00006.png
6,textureless,degraded/textureless/frame_00006.png
7,clear,degraded/clear/frame_00007.png
7,smoke,degraded/smoke/frame_00007.png
7,low_light,degraded/low_light/frame_00007.png
7,snow,degraded/snow/frame_00007.png
7,textureless,degraded/textureless/frame_00007.png
8,clear,degraded/clear/frame_00008.png
8,smoke,degraded/smoke/frame_00008.png
8,low_light,degraded/low_light/frame_00008.png
8,snow,degraded/snow/frame_00008.png
8,textureless,degraded/textureless/frame_00008.png
9,clear,degraded/clear/frame_00009.png
9,smoke,degraded/smoke/frame_00009.png
9,low_light,degraded/low_light/frame_00009.png
9,snow,degraded/snow/frame_00009.png
9,textureless,degraded/textureless/frame_00009.png
10,clear,degraded/clear/frame_00010.png
10,smoke,degraded/smoke/frame_00010.png
10,low_light,degraded/low_light/frame_00010.png
10,snow,degraded/snow/frame_00010.png
10,textureless,degraded/textureless/frame_00010.png
11,clear,degraded/clear/frame_00011.png
11,smoke,degraded/smoke/frame_00011.png
11,low_light,degraded/low_light/frame_00011.png
11,snow,degraded/snow/frame_00011.png
11,textureless,degraded/textureless/frame_00011.png
12,clear,degraded/clear/frame_00012.png
12,smoke,degraded/smoke/frame_00012.png
12,low_light,degraded/low_light/frame_00012.png
12,snow,degraded/snow/frame_00012.png
12,textureless,degraded/textureless/frame_00012.png
13,clear,degraded/clear/frame_00013.png
13,smoke,degraded/smoke/frame_00013.png
13,low_light,degraded/low_light/frame_00013.png
13,snow,degraded/snow/frame_00013.png
13,textureless,degraded/textureless/frame_00013.png
14,clear,degraded/clear/frame_00014.png
14,smoke,degraded/smoke/frame_00014.png
14,low_light,degraded/low_light/frame_00014.png
14,snow,degraded/snow/frame_00014.png
14,textureless,degraded/textureless/frame_00014.png
15,clear,degraded/clear/frame_00015.png
15,smoke,degraded/smoke/frame_00015.png
15,low_light,degraded/low_light/frame_00015.png
15,snow,degraded/snow/frame_00015.png
15,textureless,degraded/textureless/frame_00015.png
16,clear,degraded/clear/frame_00016.png
16,smoke,degraded/smoke/frame_00016.png
16,low_light,degraded/low_light/frame_00016.png
16,snow,degraded/snow/frame_00016.png
16,textureless,degraded/textureless/frame_00016.png
17,clear,degraded/clear/frame_00017.png
17,smoke,degraded/smoke/frame_00017.png
17,low_light,degraded/low_light/frame_00017.png
17,snow,degraded/snow/frame_00017.png
17,textureless,degraded/textureless/frame_00017.png
18,clear,degraded/clear/frame_00018.png
18,smoke,degraded/smoke/frame_00018.png
18,low_light,degraded/low_light/frame_00018.png
18,snow,degraded/snow/frame_00018.png
18,textureless,degraded/textureless/frame_00018.png
19,clear,degraded/clear/frame_00019.png
19,smoke,degraded/smoke/frame_00019.png
19,low_light,degraded/low_light/frame_00019.png
19,snow,degraded/snow/frame_00019.png
19,textureless,degraded/textureless/frame_00019.png
20,clear,degraded/clear/frame_00020.png
20,smoke,degraded/smoke/frame_00020.png
20,low_light,degraded/low_light/frame_00020.png
20,snow,degraded/snow/frame_00020.png
20,textureless,degraded/textureless/frame_00020.png
21,clear,degraded/clear/frame_00021.png
21,smoke,degraded/smoke/frame_00021.png
21,low_light,degraded/low_light/frame_00021.png
21,snow,degraded/snow/frame_00021.png
21,textureless,degraded/textureless/frame_00021.png
22,clear,degraded/clear/frame_00022.png
22,smoke,degraded/smoke/frame_00022.png
22,low_light,degraded/low_light/frame_00022.png
22,snow,degraded/snow/frame_00022.png
22,textureless,degraded/textureless/frame_00022.png
23,clear,degraded/clear/frame_00023.png
23,smoke,degraded/smoke/frame_00023.png
23,low_light,degraded/low_light/frame_00023.png
23,snow,degraded/snow/frame_00023.png
23,textureless,degraded/textureless/frame_00023.png
24,clear,degraded/clear/frame_00024.png
24,smoke,degraded/smoke/frame_00024.png
24,low_light,degraded/low_light/frame_00024.png
24,snow,degraded/snow/frame_00024.png
24,textureless,degraded/textureless/frame_00024.png
25,clear,degraded/clear/frame_00025.png
25,smoke,degraded/smoke/frame_00025.png
25,low_light,degraded/low_light/frame_00025.png
25,snow,degraded/snow/frame_00025.png
25,textureless,degraded/textureless/frame_00025.png
26,clear,degraded/clear/frame_00026.png
26,smoke,degraded/smoke/frame_00026.png
26,low_light,degraded/low_light/frame_00026.png
26,snow,degraded/snow/frame_00026.png
26,textureless,degraded/textureless/frame_00026.png
27,clear,degraded/clear/frame_00027.png
27,smoke,degraded/smoke/frame_00027.png
27,low_light,degraded/low_light/frame_00027.png
27,snow,degraded/snow/frame_00027.png
27,textureless,degraded/textureless/frame_00027.png
28,clear,degraded/clear/frame_00028.png
28,smoke,degraded/smoke/frame_00028.png
28,low_light,degraded/low_light/frame_00028.png
28,snow,degraded/snow/frame_00028.png
28,textureless,degraded/textureless/frame_00028.png
29,clear,degraded/clear/frame_00029.png
29,smoke,degraded/smoke/frame_00029.png
29,low_light,degraded/low_light/frame_00029.png
29,snow,degraded/snow/frame_00029.png
29,textureless,degraded/textureless/frame_00029.png
30,clear,degraded/clear/frame_00030.png
30,smoke,degraded/smoke/frame_00030.png
30,low_light,degraded/low_light/frame_00030.png
30,snow,degraded/snow/frame_00030.png
30,textureless,degraded/textureless/frame_00030.png
31,clear,degraded/clear/frame_00031.png
31,smoke,degraded/smoke/frame_00031.png
31,low_light,degraded/low_light/frame_00031.png
31,snow,degraded/snow/frame_00031.png
31,textureless,degraded/textureless/frame_00031.png
32,clear,degraded/clear/frame_00032.png
32,smoke,degraded/smoke/frame_00032.png
32,low_light,degraded/low_light/frame_00032.png
32,snow,degraded/snow/frame_00032.png
32,textureless,degraded/textureless/frame_00032.png
33,clear,degraded/clear/frame_00033.png
33,smoke,degraded/smoke/frame_00033.png
33,low_light,degraded/low_light/frame_00033.png
33,snow,degraded/snow/frame_00033.png
33,textureless,degraded/textureless/frame_00033.png
34,clear,degraded/clear/frame_00034.png
34,smoke,degraded/smoke/frame_00034.png
34,low_light,degraded/low_light/frame_00034.png
34,snow,degraded/snow/frame_00034.png
34,textureless,degraded/textureless/frame_00034.png
35,clear,degraded/clear/frame_00035.png
35,smoke,degraded/smoke/frame_00035.png
35,low_light,degraded/low_light/frame_00035.png
35,snow,degraded/snow/frame_00035.png
35,textureless,degraded/textureless/frame_00035.png
36,clear,degraded/clear/frame_00036.png
36,smoke,degraded/smoke/frame_00036.png
36,low_light,degraded/low_light/frame_00036.png
36,snow,degraded/snow/frame_00036.png
36,textureless,degraded/textureless/frame_00036.png
37,clear,degraded/clear/frame_00037.png
37,smoke,degraded/smoke/frame_00037.png
37,low_light,degraded/low_light/frame_00037.png
37,snow,degraded/snow/frame_00037.png
37,textureless,degraded/textureless/frame_00037.png
38,clear,degraded/clear/frame_00038.png
38,smoke,degraded/smoke/frame_00038.png
38,low_light,degraded/low_light/frame_00038.png
38,snow,degraded/snow/frame_00038.png
38,textureless,degraded/textureless/frame_00038.png
39,clear,degraded/clear/frame_00039.png
39,smoke,degraded/smoke/frame_00039.png
39,low_light,degraded/low_light/frame_00039.png
39,snow,degraded/snow/frame_00039.png
39,textureless,degraded/textureless/frame_00039.png
40,clear,degraded/clear/frame_00040.png
40,smoke,degraded/smoke/frame_00040.png
40,low_light,degraded/low_light/frame_00040.png
40,snow,degraded/snow/frame_00040.png
40,textureless,degraded/textureless/frame_00040.png
41,clear,degraded/clear/frame_00041.png
41,smoke,degraded/smoke/frame_00041.png
41,low_light,degraded/low_light/frame_00041.png
41,snow,degraded/snow/frame_00041.png
41,textureless,degraded/textureless/frame_00041.png
42,clear,degraded/clear/frame_00042.png
42,smoke,degraded/smoke/frame_00042.png
42,low_light,degraded/low_light/frame_00042.png
42,snow,degraded/snow/frame_00042.png
42,textureless,degraded/textureless/frame_00042.png
43,clear,degraded/clear/frame_00043.png
43,smoke,degraded/smoke/frame_00043.png
43,low_light,degraded/low_light/frame_00043.png
43,snow,degraded/snow/frame_00043.png
43,textureless,degraded/textureless/frame_00043.png
44,clear,degraded/clear/frame_00044.png
44,smoke,degraded/smoke/frame_00044.png
44,low_light,degraded/low_light/frame_00044.png
44,snow,degraded/snow/frame_00044.png
44,textureless,degraded/textureless/frame_00044.png
45,clear,degraded/clear/frame_00045.png
45,smoke,degraded/smoke/frame_00045.png
45,low_light,degraded/low_light/frame_00045.png
45,snow,degraded/snow/frame_00045.png
45,textureless,degraded/textureless/frame_00045.png
46,clear,degraded/clear/frame_00046.png
46,smoke,degraded/smoke/frame_00046.png
46,low_light,degraded/low_light/frame_00046.png
46,snow,degraded/snow/frame_00046.png
46,textureless,degraded/textureless/frame_00046.png
47,clear,degraded/clear/frame_00047.png
47,smoke,degraded/smoke/frame_00047.png
47,low_light,degraded/low_light/frame_00047.png
47,snow,degraded/snow/frame_00047.png
47,textureless,degraded/textureless/frame_00047.png
48,clear,degraded/clear/frame_00048.png
48,smoke,degraded/smoke/frame_00048.png
48,low_light,degraded/low_light/frame_00048.png
48,snow,degraded/snow/frame_00048.png
48,textureless,degraded/textureless/frame_00048.png
49,clear,degraded/clear/frame_00049.png
49,smoke,degraded/smoke/frame_00049.png
49,low_light,degraded/low_light/frame_00049.png
49,snow,degraded/snow/frame_00049.png
49,textureless,degraded/textureless/frame_00049.png
50,clear,degraded/clear/frame_00050.png
50,smoke,degraded/smoke/frame_00050.png
50,low_light,degraded/low_light/frame_00050.png
50,snow,degraded/snow/frame_00050.png
50,textureless,degraded/textureless/frame_00050.png
51,clear,degraded/clear/frame_00051.png
51,smoke,degraded/smoke/frame_00051.png
51,low_light,degraded/low_light/frame_00051.png
51,snow,degraded/snow/frame_00051.png
51,textureless,degraded/textureless/frame_00051.png
52,clear,degraded/clear/frame_00052.png
52,smoke,degraded/smoke/frame_00052.png
52,low_light,degraded/low_light/frame_00052.png
52,snow,degraded/snow/frame_00052.png
52,textureless,degraded/textureless/frame_00052.png
53,clear,degraded/clear/frame_00053.png
53,smoke,degraded/smoke/frame_00053.png
53,low_light,degraded/low_light/frame_00053.png
53,snow,degraded/snow/frame_00053.png
53,textureless,degraded/textureless/frame_00053.png
54,clear,degraded/clear/frame_00054.png
54,smoke,degraded/smoke/frame_00054.png
54,low_light,degraded/low_light/frame_00054.png
54,snow,degraded/snow/frame_00054.png
54,textureless,degraded/textureless/frame_00054.png
55,clear,degraded/clear/frame_00055.png
55,smoke,degraded/smoke/frame_00055.png
55,low_light,degraded/low_light/frame_00055.png
55,snow,degraded/snow/frame_00055.png
55,textureless,degraded/textureless/frame_00055.png
