frame,t,omega_x,omega_y,omega_z
0,0.0,0.0016,0.0,-0.0046
1,0.03333333333333333,0.0137,0.0,-0.0176
2,0.06666666666666667,-0.0092,0.0,-0.006
3,0.1,0.0186,0.0,0.0067
4,0.13333333333333333,0.0179,0.0,0.0026
5,0.16666666666666666,0.0187,0.0,-0.0088
6,0.2,0.0076,0.0,-0.0045
7,0.23333333333333334,-0.007,0.0,0.0067
8,0.26666666666666666,0.0093,0.0,-0.0152
9,0.3,0.0269,0.0,0.0018
10,0.3333333333333333,0.0193,0.0,0.0075
11,0.36666666666666664,-0.0129,0.0,0.0196
12,0.4,-0.0314,0.0,0.0084
13,0.43333333333333335,0.0163,0.0,-0.004
14,0.4666666666666667,-0.015,0.0,0.0121
15,0.5,0.0339,0.0,-0.0039
16,0.5333333333333333,0.0169,0.0,-0.0032
17,0.5666666666666667,-0.0083,0.0,0.0048
18,0.6,-0.0058,0.0,0.0035
19,0.6333333333333333,-0.0104,0.0,-0.0192
20,0.6666666666666666,-0.0135,0.0,0.0011
21,0.7,0.0054,0.0,0.0009
22,0.7333333333333333,-0.028,0.0,0.0005
23,0.7666666666666667,-0.0115,0.0,0.0204
24,0.8,0.0195,0.0,0.0054
25,0.8333333333333334,-0.0193,0.0,-0.0126
26,0.8666666666666667,-0.0089,0.0,-0.0078
27,0.9,-0.0014,0.0,0.0019
28,0.9333333333333333,0.0003,0.0,-0.0124
29,0.9666666666666667,0.0304,0.0,-0.011
30,1.0,-0.0044,0.0,0.0011
31,1.0333333333333334,0.0239,0.0,0.0055
32,1.0666666666666667,0.0016,0.0,-0.0002
33,1.1,0.0041,0.0,-0.0002
34,1.1333333333333333,-0.0038,0.0,0.0044
35,1.1666666666666667,-0.0336,0.0,0.0033
36,1.2,0.0182,0.0,-0.0115
37,1.2333333333333334,-0.0498,0.0,-0.0084
38,1.2666666666666666,-0.0019,0.0,-0.0055
39,1.3,-0.029,0.0,-0.0128
40,1.3333333333333333,-0.0076,0.0,0.0134
41,1.3666666666666667,0.0067,0.0,-0.0171
42,1.4,0.0054,0.0,-0.0064
43,1.4333333333333333,0.006,0.0,-0.0083
44,1.4666666666666666,0.0193,0.0,0.0005
45,1.5,0.0192,0.0,0.0173
